n,#Prueba,Purview,Mecanismo,modo,k,perdida,tiempo_ms
10,1,ABCDEFGHIJ,ABCDEFGHIJ,Exacto,2,0.47265625,414.805599997635
10,1,ABCDEFGHIJ,ABCDEFGHIJ,Exacto,3,0.953125,500.6528000012622
10,1,ABCDEFGHIJ,ABCDEFGHIJ,Exacto,4,1.43359375,578.4671000001254
10,1,ABCDEFGHIJ,ABCDEFGHIJ,Exacto,5,1.927734375,660.872999993444
10,1,ABCDEFGHIJ,ABCDEFGHIJ,Exacto_KL,3,0.0,2501.222699997015
10,1,ABCDEFGHIJ,ABCDEFGHIJ,Exacto_KL,4,0.478515625,3725.245599998743
10,1,ABCDEFGHIJ,ABCDEFGHIJ,Exacto_KL,5,0.494140625,4796.100899999146
10,1,ABCDEFGHIJ,ABCDEFGHIJ,Rapido_MCTS,2,3.468571428571428,1569.667879999997
10,1,ABCDEFGHIJ,ABCDEFGHIJ,Rapido_MCTS,3,4.314285714285714,1947.601569000199
10,1,ABCDEFGHIJ,ABCDEFGHIJ,Rapido_MCTS,4,4.177142857142857,1660.77098300002
10,1,ABCDEFGHIJ,ABCDEFGHIJ,Rapido_MCTS,5,4.257142857142858,1930.469370999617
10,1,ABCDEFGHIJ,ABCDEFGHIJ,Aprox_KLmc,3,0.0,2250.783100025728
10,1,ABCDEFGHIJ,ABCDEFGHIJ,Aprox_KLmc,4,0.478515625,3250.636900018435
10,1,ABCDEFGHIJ,ABCDEFGHIJ,Aprox_KLmc,5,0.494140625,4663.973400020041
10,2,ABCDEFGHIJ,ABCDEFGHI,Exacto,2,0.0048828125,219.8710000011488
10,2,ABCDEFGHIJ,ABCDEFGHI,Exacto,3,0.0107421875,301.0194000016782
10,2,ABCDEFGHIJ,ABCDEFGHI,Exacto,4,0.0302734375,523.3674999981304
10,2,ABCDEFGHIJ,ABCDEFGHI,Exacto,5,0.0498046875,416.1945999949239
10,2,ABCDEFGHIJ,ABCDEFGHI,Exacto_KL,3,0.005859375,810.5634999956237
10,2,ABCDEFGHIJ,ABCDEFGHI,Exacto_KL,4,0.0,3005.236099998001
10,2,ABCDEFGHIJ,ABCDEFGHI,Exacto_KL,5,0.0,4857.596300003934
10,2,ABCDEFGHIJ,ABCDEFGHI,Rapido_MCTS,2,1.662857142857143,1336.930586999642
10,2,ABCDEFGHIJ,ABCDEFGHI,Rapido_MCTS,3,2.45,1562.960313000076
10,2,ABCDEFGHIJ,ABCDEFGHI,Rapido_MCTS,4,1.625714285714285,1547.241258999748
10,2,ABCDEFGHIJ,ABCDEFGHI,Rapido_MCTS,5,2.301428571428572,1599.178818999917
10,2,ABCDEFGHIJ,ABCDEFGHI,Aprox_KLmc,3,0.005859375,678.8840999943204
10,2,ABCDEFGHIJ,ABCDEFGHI,Aprox_KLmc,4,0.0,2835.884899977827
10,2,ABCDEFGHIJ,ABCDEFGHI,Aprox_KLmc,5,0.0,4663.6162000068
10,3,ABCDEFGHIJ,BCDEFGHIJ,Exacto,2,0.0048828125,287.4403999958304
10,3,ABCDEFGHIJ,BCDEFGHIJ,Exacto,3,0.01171875,395.2215000026627
10,3,ABCDEFGHIJ,BCDEFGHIJ,Exacto,4,0.0234375,441.0564999998314
10,3,ABCDEFGHIJ,BCDEFGHIJ,Exacto,5,0.03515625,446.7660000009346
10,3,ABCDEFGHIJ,BCDEFGHIJ,Exacto_KL,3,0.00390625,1557.000299995707
10,3,ABCDEFGHIJ,BCDEFGHIJ,Exacto_KL,4,0.0,2802.427700000408
10,3,ABCDEFGHIJ,BCDEFGHIJ,Exacto_KL,5,0.00390625,3734.558100004506
10,3,ABCDEFGHIJ,BCDEFGHIJ,Rapido_MCTS,2,0.0,1242.821968000044
10,3,ABCDEFGHIJ,BCDEFGHIJ,Rapido_MCTS,3,2.268571428571429,1690.588040999955
10,3,ABCDEFGHIJ,BCDEFGHIJ,Rapido_MCTS,4,1.78,1921.712679999928
10,3,ABCDEFGHIJ,BCDEFGHIJ,Rapido_MCTS,5,2.548571428571429,1885.583321000013
10,3,ABCDEFGHIJ,BCDEFGHIJ,Aprox_KLmc,3,0.00390625,1024.817099998472
10,3,ABCDEFGHIJ,BCDEFGHIJ,Aprox_KLmc,4,0.0,2328.81219999399
10,3,ABCDEFGHIJ,BCDEFGHIJ,Aprox_KLmc,5,0.00390625,3209.474200004479
10,4,ABCDEFGHIJ,BCDEFGHI,Exacto,2,0.01171875,187.4840000018594
10,4,ABCDEFGHIJ,BCDEFGHI,Exacto,3,0.0234375,273.2589000006556
10,4,ABCDEFGHIJ,BCDEFGHI,Exacto,4,0.04296875,311.6229999941424
10,4,ABCDEFGHIJ,BCDEFGHI,Exacto,5,0.0703125,375.7735000035609
10,4,ABCDEFGHIJ,BCDEFGHI,Exacto_KL,3,0.00390625,1133.881500005373
10,4,ABCDEFGHIJ,BCDEFGHI,Exacto_KL,4,0.0078125,1940.999999998894
10,4,ABCDEFGHIJ,BCDEFGHI,Exacto_KL,5,0.0,3819.049600002472
10,4,ABCDEFGHIJ,BCDEFGHI,Rapido_MCTS,2,0.04928571428571427,1322.815473999981
10,4,ABCDEFGHIJ,BCDEFGHI,Rapido_MCTS,3,1.352857142857143,1467.851259000327
10,4,ABCDEFGHIJ,BCDEFGHI,Rapido_MCTS,4,0.6878571428571427,1693.781633999606
10,4,ABCDEFGHIJ,BCDEFGHI,Rapido_MCTS,5,1.465714285714286,1762.120979999963
10,4,ABCDEFGHIJ,BCDEFGHI,Aprox_KLmc,3,0.00390625,884.1938000114169
10,4,ABCDEFGHIJ,BCDEFGHI,Aprox_KLmc,4,0.0078125,1790.847299998859
10,4,ABCDEFGHIJ,BCDEFGHI,Aprox_KLmc,5,0.0,4009.449199977098
10,5,ABCDEFGHIJ,ABDEGHJ,Exacto,2,0.005859375,134.2984000002616
10,5,ABCDEFGHIJ,ABDEGHJ,Exacto,3,0.025390625,212.619400001131
10,5,ABCDEFGHIJ,ABDEGHJ,Exacto,4,0.052734375,233.7178000016138
10,5,ABCDEFGHIJ,ABDEGHJ,Exacto,5,0.158203125,300.7978000023286
10,5,ABCDEFGHIJ,ABDEGHJ,Exacto_KL,3,0.0,1005.329399995389
10,5,ABCDEFGHIJ,ABDEGHJ,Exacto_KL,4,0.005859375,1331.868300003407
10,5,ABCDEFGHIJ,ABDEGHJ,Exacto_KL,5,0.03125,4986.397299995588
10,5,ABCDEFGHIJ,ABDEGHJ,Rapido_MCTS,2,0.8075000000000001,1280.979051000031
10,5,ABCDEFGHIJ,ABDEGHJ,Rapido_MCTS,3,0.7742857142857144,1726.552904000073
10,5,ABCDEFGHIJ,ABDEGHJ,Rapido_MCTS,4,0.7310714285714285,1617.04577699993
10,5,ABCDEFGHIJ,ABDEGHJ,Rapido_MCTS,5,0.8135714285714287,1586.824904999958
10,5,ABCDEFGHIJ,ABDEGHJ,Aprox_KLmc,3,0.0,845.5729999986943
10,5,ABCDEFGHIJ,ABDEGHJ,Aprox_KLmc,4,0.005859375,1268.213400006061
10,5,ABCDEFGHIJ,ABDEGHJ,Aprox_KLmc,5,0.03125,4948.131799988914
10,6,ABCDEFGHIJ,ACEGI,Exacto,2,0.015625,130.6977000058396
10,6,ABCDEFGHIJ,ACEGI,Exacto,3,0.0400390625,169.0565999961109
10,6,ABCDEFGHIJ,ACEGI,Exacto,4,0.0771484375,195.0060000017402
10,6,ABCDEFGHIJ,ACEGI,Exacto,5,0.1279296875,254.6961999978521
10,6,ABCDEFGHIJ,ACEGI,Exacto_KL,3,0.0,891.1461000025156
10,6,ABCDEFGHIJ,ACEGI,Exacto_KL,4,0.037109375,1139.966599999752
10,6,ABCDEFGHIJ,ACEGI,Exacto_KL,5,0.052734375,1720.023300003959
10,6,ABCDEFGHIJ,ACEGI,Rapido_MCTS,2,0.5124107142857144,1122.149213999819
10,6,ABCDEFGHIJ,ACEGI,Rapido_MCTS,3,0.5291071428571428,1355.284909000147
